Beruf,Lehrbetrieb,Strasse,PLZ,Ort,Kontaktperson,Telefon,Email,Homepage,Erreichbarkeit,D/F,SL,BM,LS,IV,ZB,Anzahl,Bewerbung bis
Abdichter/in EFZ,Bauimpuls AG,Jägerweg 3,3627,Heimberg,Heidi Wenigerkind,033 439 71 00,hwenigerkind@bauimpuls.ch,,,D,,False,False,False,False,2.0,31.07.2023
Abdichter/in EFZ,Bernhard AG,Lindenstrasse 1,3427,Utzenstorf,Simon Bernhard,032 665 47 24,sb.bau@bernhard-group.ch,,Montag bis Freitag 7.30 - 17.00 Uhr,D,E,False,False,False,False,1.0,31.07.2023
Abdichter/in EFZ,Growe-Siegenthaler AG,Moosweg 36,3645,Gwatt (Thun),Jonas Wingeier,031 781 28 48,info@gs-dach.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Abdichter/in EFZ,Schilt Karina Guggisberg Dachtechnik AG Spenglerei Steil- & Flachbedachungen,Seftigenstrasse 312,3084,Wabern,Karina Schilt,031 960 16 21,k.schilt@guggisberg-bern.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Abdichter/in EFZ,Kämpfer + Co AG Dach- + Fassadenmanagement,Wangenstrasse 71,3360,Herzogenbuchsee,Sabine Baumberger,062 961 73 50,personal@kaempfer.ch,,,D,E,False,False,False,True,3.0,31.07.2023
Abdichter/in EFZ,Pulver Dawa Partner AG,Urtenenstrasse 50,3322,Mattstetten,Rephael Dawa,078 797 16 17,info@pulverdawa.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Abdichtungspraktiker/in EBA,Growe-Siegenthaler AG,Moosweg 36,3645,Gwatt (Thun),Jonas Wingeier,031 781 28 48,info@gs-dach.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Abdichtungspraktiker/in EBA,Schilt Karina Guggisberg Dachtechnik AG Spenglerei Steil- & Flachbedachungen,Seftigenstrasse 312,3084,Wabern,Karina Schilt,031 960 16 21,k.schilt@guggisberg-bern.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Abdichtungspraktiker/in EBA,Kämpfer + Co AG Dach- + Fassadenmanagement,Wangenstrasse 71,3360,Herzogenbuchsee,Sabine Baumberger,062 961 73 50,personal@kaempfer.ch,,,D,E,False,False,False,True,2.0,31.07.2023
Abdichtungspraktiker/in EBA,Pulver Dawa Partner AG,Urtenenstrasse 50,3322,Mattstetten,Rephael Dawa,078 797 16 17,info@pulverdawa.ch,,,D,E,False,False,False,True,1.0,31.07.2023
